Nodes,Tasks Per Node,Threads,MPI,OMP,DOF/s,Time,Avg DOF/s,Avg Time
N_1,n_104,1,104,1,249700000.0,6.121664,249800000.0,6.119926666666667
N_1,n_104,13,104,13,198000000.0,7.722927,198000000.0,7.7220466666666665
N_1,n_104,26,104,26,192000000.0,7.961909,192033333.33333334,7.960468333333334
N_1,n_104,52,104,52,181100000.0,8.441858,181100000.0,8.440577333333332
N_1,n_26,1,26,1,82160000.0,3.190518,79530000.0,3.309791
N_1,n_26,13,26,13,7821000.0,33.516755,7818333.333333333,33.529271666666666
N_1,n_26,26,26,26,3148000.0,83.276609,3147666.6666666665,83.28355499999999
N_1,n_26,52,26,52,1500000.0,174.746182,1500000.0,174.77097433333333
N_1,n_52,1,52,1,127500000.0,5.639968,133300000.0,5.408251
N_1,n_52,13,52,13,8715000.0,82.534211,8718000.0,82.50964766666667
N_1,n_52,26,52,26,4131000.0,174.118617,4130000.0,174.17141966666668
N_1,n_52,52,52,52,2049000.0,351.108393,2048000.0,351.2539366666667
N_1,n_78,1,78,1,199100000.0,5.392089,190600000.0,5.648077000000001
N_1,n_78,13,78,13,9116000.0,117.786108,9115333.333333334,117.797086
N_1,n_78,26,78,26,4560000.0,235.4571,4557666.666666667,235.58464733333335
N_1,n_78,52,78,52,2274000.0,472.249744,2273000.0,472.41948899999994
N_16,n_104,1,1664,1,3688000000.0,6.0548,3673333333.3333335,6.079325666666667
N_16,n_104,13,1664,13,2867000000.0,7.787817,2883666666.6666665,7.743740333333334
N_16,n_104,26,1664,26,2761000000.0,8.089207,2754666666.6666665,8.107330333333334
N_16,n_104,52,1664,52,2572000000.0,8.681554,2553666666.6666665,8.744165333333333
N_16,n_26,1,416,1,1211000000.0,4.752012,1190000000.0,4.8493726666666666
N_16,n_26,13,416,13,143200000.0,40.187491,143200000.0,40.182888
N_16,n_26,26,416,26,57050000.0,100.871185,57043333.333333336,100.884914
N_16,n_26,52,416,52,21420000.0,268.642814,21450000.0,268.27270599999997
N_16,n_52,1,832,1,1981000000.0,6.173185,2025666666.6666667,6.042715333333334
N_16,n_52,13,832,13,121800000.0,100.401092,121800000.0,100.40702033333334
N_16,n_52,26,832,26,58010000.0,210.847721,57993333.333333336,210.90095066666666
N_16,n_52,52,832,52,28910000.0,423.066654,28910000.0,423.07629933333334
N_16,n_78,1,1248,1,2903000000.0,5.77938,2882666666.6666665,5.8203640000000005
N_16,n_78,13,1248,13,116700000.0,143.734811,116600000.0,143.866305
N_16,n_78,26,1248,26,59550000.0,281.752827,59526666.666666664,281.852412
N_16,n_78,52,1248,52,30340000.0,552.910845,30333333.333333332,553.0709683333333
N_2,n_104,1,208,1,496400000.0,5.622602,496100000.0,5.626521666666666
N_2,n_104,13,208,13,379800000.0,7.349057,383566666.6666667,7.277464999999999
N_2,n_104,26,208,26,368700000.0,7.569664,369833333.3333333,7.547182333333333
N_2,n_104,52,208,52,346800000.0,8.049812,346133333.3333333,8.064730333333332
N_2,n_26,1,52,1,167000000.0,4.306511,170433333.33333334,4.236934333333334
N_2,n_26,13,52,13,20910000.0,34.403433,20860000.0,34.484848
N_2,n_26,26,52,26,8309000.0,86.570219,8313000.0,86.52850266666667
N_2,n_26,52,52,52,4040000.0,178.070946,4041000.0,178.00986166666667
N_2,n_52,1,104,1,257500000.0,5.937402,276700000.0,5.544232
N_2,n_52,13,104,13,17780000.0,85.974896,17780000.0,85.98870366666667
N_2,n_52,26,104,26,8491000.0,180.04494,8488000.0,180.1146196666667
N_2,n_52,52,104,52,4202000.0,363.80529,4202666.666666667,363.7722713333333
N_2,n_78,1,156,1,370900000.0,5.654967,375566666.6666667,5.584884666666667
N_2,n_78,13,156,13,15440000.0,135.8585,15426666.666666666,135.94136066666667
N_2,n_78,26,156,26,7785000.0,269.392356,7778666.666666667,269.60589000000004
N_2,n_78,52,156,52,3931000.0,533.514326,3929666.6666666665,533.685515
N_32,n_104,1,3328,1,7549000000.0,6.098648,7437000000.0,6.191432666666667
N_32,n_104,13,3328,13,3082000000.0,14.935412,3068333333.3333335,15.002650000000001
N_32,n_104,26,3328,26,5688000000.0,8.093707,5678333333.333333,8.107570666666666
N_32,n_104,52,3328,52,2990000000.0,15.398733,3006666666.6666665,15.312961333333334
N_32,n_26,1,832,1,1178000000.0,10.382606,1180333333.3333333,10.361677666666667
N_32,n_26,13,832,13,164900000.0,74.184076,165166666.66666666,74.05436
N_32,n_26,26,832,26,114900000.0,106.469535,114833333.33333333,106.508525
N_32,n_26,52,832,52,55950000.0,218.590552,55953333.333333336,218.59026833333334
N_32,n_52,1,1664,1,3976000000.0,5.616851,3953666666.6666665,5.64924
N_32,n_52,13,1664,13,220600000.0,101.245205,220600000.0,101.24493600000001
N_32,n_52,26,1664,26,106300000.0,209.990806,106333333.33333333,209.99779266666667
N_32,n_52,52,1664,52,52710000.0,423.675227,52726666.666666664,423.5189293333333
N_32,n_78,1,2496,1,5733000000.0,5.056672,5570666666.666667,5.207325999999999
N_32,n_78,13,2496,13,224100000.0,129.339802,224066666.66666666,129.36520399999998
N_32,n_78,26,2496,26,111700000.0,259.557523,111666666.66666667,259.63645433333335
N_32,n_78,52,2496,52,57550000.0,503.751453,57606666.666666664,503.256276
N_4,n_104,1,416,1,982800000.0,5.855131,982366666.6666666,5.857902333333333
N_4,n_104,13,416,13,747400000.0,7.699549,751966666.6666666,7.6533370000000005
N_4,n_104,26,416,26,759300000.0,7.579111,751666666.6666666,7.657567666666668
N_4,n_104,52,416,52,716300000.0,8.033389,717233333.3333334,8.023220333333333
N_4,n_26,1,104,1,318500000.0,4.800648,323833333.3333333,4.722285
N_4,n_26,13,104,13,42650000.0,35.846526,42740000.0,35.77133133333333
N_4,n_26,26,104,26,16940000.0,90.232433,16946666.666666668,90.20415033333335
N_4,n_26,52,104,52,8265000.0,184.97897,8266333.333333333,184.94668366666667
N_4,n_52,1,208,1,580200000.0,4.811348,518100000.0,5.590155333333333
N_4,n_52,13,208,13,31910000.0,87.479735,31833333.333333332,87.68725466666668
N_4,n_52,26,208,26,15690000.0,177.89187,15680000.0,178.02226399999998
N_4,n_52,52,208,52,7728000.0,361.199328,7731666.666666667,361.0302263333333
N_4,n_78,1,312,1,726000000.0,4.991511,736733333.3333334,4.919474666666667
N_4,n_78,13,312,13,28450000.0,127.365941,28446666.666666668,127.37945833333333
N_4,n_78,26,312,26,14190000.0,255.357081,14183333.333333334,255.47566866666668
N_4,n_78,52,312,52,7296000.0,496.69133,7298666.666666667,496.4925943333333
N_8,n_104,1,832,1,1895000000.0,6.454333,1904666666.6666667,6.421979
N_8,n_104,13,832,13,1544000000.0,7.920504,1528333333.3333333,8.004669666666667
N_8,n_104,26,832,26,1450000000.0,8.434653,1448333333.3333333,8.445339333333335
N_8,n_104,52,832,52,1354000000.0,9.034047,1377000000.0,8.884344
N_8,n_26,1,208,1,597800000.0,4.669332,588466666.6666666,4.744479999999999
N_8,n_26,13,208,13,78160000.0,35.713359,78206666.66666667,35.691673333333334
N_8,n_26,26,208,26,30910000.0,90.314504,30900000.0,90.337914
N_8,n_26,52,208,52,15040000.0,185.629437,15043333.333333334,185.547683
N_8,n_52,1,416,1,1027000000.0,5.604933,1068666666.6666666,5.394850333333333
N_8,n_52,13,416,13,59760000.0,96.293317,59770000.0,96.277799
N_8,n_52,26,416,26,28420000.0,202.467238,28406666.666666668,202.56566066666664
N_8,n_52,52,416,52,14110000.0,407.758668,14113333.333333334,407.685972
N_8,n_78,1,624,1,1453000000.0,5.913441,1472666666.6666667,5.833155666666666
N_8,n_78,13,624,13,75140000.0,114.323381,75180000.0,114.26131433333335
N_8,n_78,26,624,26,37900000.0,226.657665,37903333.333333336,226.63297466666666
N_8,n_78,52,624,52,18830000.0,456.148826,18840000.0,455.87651233333327
