Nodes,Tasks Per Node,Threads,MPI,OMP,DOF/s,Time,Avg DOF/s,Avg Time
N_1,n_104,1,104,1,249000000.0,6.139128,249366666.66666666,6.130657333333333
N_16,n_104,1,1664,1,3595000000.0,6.210958,3608000000.0,6.18856
N_16,n_104,13,1664,13,2932000000.0,7.616386,2937000000.0,7.603173666666667
N_16,n_104,26,1664,26,2783000000.0,8.024726,2799000000.0,7.978579333333333
N_16,n_104,52,1664,52,2651000000.0,8.423486,2637333333.3333335,8.467329999999999
N_2,n_104,1,208,1,477500000.0,5.845191,473766666.6666667,5.8918903333333335
N_2,n_104,13,208,13,384300000.0,7.262554,384666666.6666667,7.256495666666667
N_2,n_104,26,208,26,371900000.0,7.504613,371533333.3333333,7.5125546666666665
N_2,n_104,52,208,52,347900000.0,8.023515,345933333.3333333,8.069200666666667
N_32,n_104,1,3328,1,6679000000.0,6.892489,6562000000.0,7.029592
N_32,n_104,13,3328,13,5736000000.0,8.026212,5819333333.333333,7.911718333333333
N_32,n_104,26,3328,26,5756000000.0,7.998392,5742666666.666667,8.016755
N_32,n_104,52,3328,52,5312000000.0,8.666946,5296666666.666667,8.693181333333333
N_4,n_104,1,416,1,955400000.0,6.023316,954866666.6666666,6.026694333333334
N_4,n_104,13,416,13,759200000.0,7.579705,771100000.0,7.463764
N_4,n_104,26,416,26,755200000.0,7.619879,747600000.0,7.698757999999999
N_4,n_104,52,416,52,721700000.0,7.974025,716666666.6666666,8.030430666666666
N_8,n_104,1,832,1,1877000000.0,6.51504,1874000000.0,6.525524
N_8,n_104,13,832,13,1468000000.0,8.330273,1481333333.3333333,8.255908
N_8,n_104,26,832,26,1468000000.0,8.333279,1457000000.0,8.395814
N_8,n_104,52,832,52,1383000000.0,8.842701,1375666666.6666667,8.890202666666667
