Step Temp TotEng
0 299.89378 -89825891
200 299.54898 -89825808
400 299.76808 -89825714
600 299.85811 -89826074
800 300.06747 -89825995
1000 300.07379 -89825985
1200 300.17991 -89825901
1400 300.1056 -89826087
1600 300.10295 -89826030
1800 300.03496 -89826080
2000 300.19814 -89826038
2200 300.01729 -89826069
2400 300.03503 -89826026
2600 300.12975 -89826090
2800 300.05097 -89826114
3000 300.18833 -89826168
3200 300.1826 -89826150
3400 300.18032 -89826220
3600 300.16471 -89826143
3800 300.10122 -89826233
4000 300.03809 -89826189
4200 300.177 -89826249
4400 299.98791 -89826205
4600 300.24476 -89826301
4800 300.02129 -89826233
5000 300.1181 -89826308
5200 300.1315 -89826288
5400 300.00359 -89826280
5600 300.22076 -89826355
5800 300.17631 -89826319
6000 300.06391 -89826348
6200 300.12355 -89826373
6400 300.32269 -89826468
6600 300.33023 -89826428
6800 300.34013 -89826422
7000 300.2868 -89826512
7200 300.20125 -89826497
7400 300.24138 -89826507
7600 300.20957 -89826494
7800 300.28787 -89826536
8000 300.32203 -89826557
8200 300.34364 -89826539
8400 300.36121 -89826623
8600 300.29859 -89826594
8800 300.32436 -89826611
9000 300.40067 -89826631
9200 300.28678 -89826662
9400 300.33577 -89826662
9600 300.23895 -89826700
9800 300.36418 -89826755
10000 300.46528 -89826710
10200 300.33872 -89826682
10400 300.32297 -89826739
10600 300.42855 -89826848
10800 300.37628 -89826770
11000 300.37394 -89826832
11200 300.32522 -89826822
11400 300.42622 -89826818
11600 300.44477 -89826829
11800 300.32545 -89826864
12000 300.48726 -89826870
12200 300.55703 -89826962
12400 300.69066 -89826884
12600 300.45654 -89826947
12800 300.39889 -89826917
13000 300.51956 -89827029
13200 300.45887 -89827004
13400 300.46361 -89827036
13600 300.52323 -89827051
13800 300.4699 -89827008
14000 300.43126 -89827083
14200 300.36681 -89827070
14400 300.34866 -89827083
14600 300.47872 -89827087
14800 300.58153 -89827116
15000 300.45608 -89827110
15200 300.46822 -89827168
15400 300.56243 -89827083
15600 300.53497 -89827189
15800 300.60285 -89827148
16000 300.43959 -89827190
16200 300.45462 -89827147
16400 300.51883 -89827250
16600 300.44245 -89827184
16800 300.60891 -89827205
17000 300.6634 -89827273
17200 300.48896 -89827251
17400 300.64372 -89827301
17600 300.58996 -89827321
17800 300.51067 -89827321
18000 300.67584 -89827386
18200 300.69147 -89827285
18400 300.59506 -89827343
18600 300.61378 -89827405
18800 300.89563 -89827375
19000 300.68574 -89827445
19200 300.59506 -89827401
19400 300.62322 -89827439
19600 300.646 -89827391
19800 300.61173 -89827458
20000 300.58268 -89827529
