# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 104 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                     114.37      114370850.46
2                     305.81      152905477.27
4                     658.07      164517547.74
8                    1309.04      163630175.26
16                   2347.45      146715411.25
32                   4674.19      146068470.99
64                   9232.77      144261958.52
128                 19594.50      153082056.40
256                 32604.19      127360109.19
512                 40977.70       80034578.78
1024                45581.43       44513118.55
2048                48442.94       23653777.06
4096                49203.28       12012519.43
8192                49365.45        6026055.84
