Test System;  As-is code
Copy
Threads	Rate (MB/s)	Avg time	Min time	Max time
1	24725.8	23726.4	23869.7	23988.5
2	28143.9	35168.7	40034.5	40143.4
3	34342.6	32248.4	56278.3	57139.6
4	37861.9	35130.0	65923.6	66453.9
Add
Threads	Rate (MB/s)	Avg time	Min time	Max time
1	14676.2	14137.2	13680.9	13543.6
2	26252.5	24483.6	25521.9	25153.9
3	32930.3	30959.5	34500.4	33873.9
4	37099.4	34871.4	39416.1	38984.6
Scale
Threads	Rate (MB/s)	Avg time	Min time	Max time
1	12371.4	14088.3	12043.8	13736.2
2	21557.2	23121.5	21697.0	24504.9
3	26890.7	27691.5	28376.3	30915.6
4	30296.7	30528.3	32747.6	34779.3
Triad
Threads	Rate (MB/s)	Avg time	Min time	Max time
1	15193.8	14325.4	13794.8	13695.8
2	26127.0	25069.3	25150.2	24864.6
3	32555.9	30886.4	32820.0	32528.8
4	36792.5	34949.5	37454.3	37267.5
