Compiler	test	% mem	Size	Threads	Rate (MB/s)	Avg time	Min time	Max time	notes
icc	Add	 0.091	10000000	1	14841.4	0.016224	0.016171	0.016323	kestrel nodes
icc	Add	 0.091	10000000	24	100585.9	0.00242	0.002386	0.002462	kestrel nodes
icc	Add	 0.091	10000000	44	190039.3	0.001282	0.001263	0.001307	kestrel nodes
icc	Add	 0.091	10000000	64	882425.5	0.000298	0.000272	0.00037	kestrel nodes
icc	Add	 0.091	10000000	84	2242829.8	0.000132	0.000107	0.000209	kestrel nodes
icc	Add	 0.091	10000000	104	3640324.3	0.001012	6.6e-05	0.003417	kestrel nodes
ifc	Add	 0.183	20000000	1	14246.7	0.0338	0.0337	0.0341	kestrel nodes
ifc	Add	 0.183	20000000	24	95429.0	0.0051	0.005	0.0052	kestrel nodes
ifc	Add	 0.183	20000000	44	178639.4	0.0027	0.0027	0.0028	kestrel nodes
ifc	Add	 0.183	20000000	64	266375.5	0.0018	0.0018	0.0019	kestrel nodes
ifc	Add	 0.183	20000000	84	349586.0	0.0014	0.0014	0.0014	kestrel nodes
ifc	Add	 0.183	20000000	104	547976.6	0.0009	0.0009	0.0009	kestrel nodes
icc	Add	30.000	3287419100	1	13830.8	5.706267	5.704511	5.708266	kestrel nodes
icc	Add	30.000	3287419100	24	90965.6	0.868083	0.86734	0.870865	kestrel nodes
icc	Add	30.000	3287419100	44	160478.3	0.491941	0.491643	0.492352	kestrel nodes
icc	Add	30.000	3287419100	64	232908.7	0.339285	0.338751	0.340001	kestrel nodes
icc	Add	30.000	3287419100	84	305191.3	0.25912	0.25852	0.261369	kestrel nodes
icc	Add	30.000	3287419100	104	381019.3	0.20867	0.207071	0.210589	kestrel nodes
ifc	Add	30.000	3287419100	1	13696.8	5.7629	5.7603	5.7661	kestrel nodes
ifc	Add	30.000	3287419100	24	90352.6	0.8736	0.8732	0.8746	kestrel nodes
ifc	Add	30.000	3287419100	44	165842.8	0.4763	0.4757	0.4769	kestrel nodes
ifc	Add	30.000	3287419100	64	240556.1	0.3285	0.328	0.3296	kestrel nodes
ifc	Add	30.000	3287419100	84	316018.4	0.2503	0.2497	0.252	kestrel nodes
ifc	Add	30.000	3287419100	104	390913.6	0.2033	0.2018	0.2067	kestrel nodes
icc	Copy	 0.091	10000000	1	25055.1	0.006458	0.006386	0.006499	kestrel nodes
icc	Copy	 0.091	10000000	24	129863.7	0.001306	0.001232	0.001346	kestrel nodes
icc	Copy	 0.091	10000000	44	285168.8	0.000631	0.000561	0.00065	kestrel nodes
icc	Copy	 0.091	10000000	64	575350.2	0.000291	0.000278	0.000308	kestrel nodes
icc	Copy	 0.091	10000000	84	2420362.9	7.4e-05	6.6e-05	7.7e-05	kestrel nodes
icc	Copy	 0.091	10000000	104	650579.9	0.001366	0.000246	0.003431	kestrel nodes
ifc	Copy	 0.183	20000000	1	24435.2	0.0131	0.0131	0.0132	kestrel nodes
ifc	Copy	 0.183	20000000	24	104133.5	0.0031	0.0031	0.0031	kestrel nodes
ifc	Copy	 0.183	20000000	44	225651.9	0.0015	0.0014	0.0016	kestrel nodes
ifc	Copy	 0.183	20000000	64	410703.0	0.001	0.0008	0.0011	kestrel nodes
ifc	Copy	 0.183	20000000	84	488597.5	0.0007	0.0007	0.0008	kestrel nodes
ifc	Copy	 0.183	20000000	104	718895.2	0.0005	0.0004	0.0005	kestrel nodes
icc	Copy	30.000	3287419100	1	23438.9	2.245666	2.244076	2.24679	kestrel nodes
icc	Copy	30.000	3287419100	24	107023.9	0.491967	0.491467	0.492171	kestrel nodes
icc	Copy	30.000	3287419100	44	171497.2	0.306957	0.306703	0.307487	kestrel nodes
icc	Copy	30.000	3287419100	64	248845.4	0.211505	0.211371	0.211863	kestrel nodes
icc	Copy	30.000	3287419100	84	326054.0	0.161422	0.161319	0.161649	kestrel nodes
icc	Copy	30.000	3287419100	104	402595.6	0.131491	0.130649	0.134654	kestrel nodes
ifc	Copy	30.000	3287419100	1	23560.9	2.2336	2.2325	2.2354	kestrel nodes
ifc	Copy	30.000	3287419100	24	105416.9	0.4996	0.499	0.5004	kestrel nodes
ifc	Copy	30.000	3287419100	44	171383.8	0.3072	0.3069	0.3077	kestrel nodes
ifc	Copy	30.000	3287419100	64	248797.2	0.2116	0.2114	0.2117	kestrel nodes
ifc	Copy	30.000	3287419100	84	326011.6	0.1615	0.1613	0.1617	kestrel nodes
ifc	Copy	30.000	3287419100	104	402749.6	0.132	0.1306	0.14	kestrel nodes
icc	Scale	 0.091	10000000	1	12691.4	0.012646	0.012607	0.012713	kestrel nodes
icc	Scale	 0.091	10000000	24	86257.3	0.001936	0.001855	0.002154	kestrel nodes
icc	Scale	 0.091	10000000	44	213614.0	0.000768	0.000749	0.000863	kestrel nodes
icc	Scale	 0.091	10000000	64	666989.2	0.000247	0.00024	0.000257	kestrel nodes
icc	Scale	 0.091	10000000	84	2103496.1	8.4e-05	7.6e-05	8.8e-05	kestrel nodes
icc	Scale	 0.091	10000000	104	737704.2	0.001236	0.000217	0.003382	kestrel nodes
